firm,firm_crd,city,state,website
"JEFFERY C. WELCH AND ASSOCIATES, INC.",143092,,WY,
VECTOR LINE CAPITAL,342161,,WY,
THRYVE WEALTH MANAGEMENT,335920,,WY,
ECHELON PARTNERS X MANAGEMENT LLC,342143,,WY,
FLAT FOOTED LLC,291593,,WY,
LOOMIS CAPITAL MANAGEMENT,333000,,WY,
EAGLE STRATEGIES LLC,110826,,WY,
SAVILE PRIVATE WEALTH LLC,339409,,WY,
"FOCUS PARTNERS WEALTH, LLC",159289,,WY,
DREYFUSS CAPITAL MANAGEMENT LLC,309769,,WY,
"GC WEALTH MANAGEMENT RIA, LLC",327269,,WY,
STATE FARM INVESTMENT MANAGEMENT CORP.,3487,,WY,
GRAND FAMILY OFFICE LLC,342516,,WY,
SIMIAN LLC,336497,,WY,
O'DONNELL WEALTH MANAGEMENT,323384,,WY,
ECHELON MANAGEMENT,318674,,WY,
KAISER WEALTH MANAGEMENT,111000,,WY,
ASHTON THOMAS PRIVATE WEALTH,153902,,WY,
COMPASS FINANCIAL MANAGEMENT LLC,156345,,WY,
ELEVATE WEALTH MANAGEMENT,336710,,WY,
"BEACON POINTE ADVISORS, LLC",119290,,WY,
"KCD FINANCIAL, INC.",127473,,WY,
"AE WEALTH MANAGEMENT, LLC",282580,,WY,
"HRTG GPE, LLC",157389,,WY,
"GAMMA PARADIGM CAPITAL, LP",226569,,WY,
OMNIVEST,342139,,WY,
EMPIRIKAL PARTNERS LLC,282691,,WY,
INTEGRATED WEALTH CONCEPTS LLC,284656,,WY,
KELLER INVESTMENT ADVISORS LLC,342523,,WY,
ONEASCENT FINANCIAL SERVICES LLC,284549,,WY,
"AVANTAX PLANNING PARTNERS, INC.",106237,,WY,
"STEWARD PARTNERS INVESTMENT SOLUTIONS, LLC",1254,,WY,
"RAYMOND JAMES FINANCIAL SERVICES ADVISORS, INC",149018,,WY,
"ASCENTIS INDEPENDENT ADVISORS, LLC",322879,,WY,
CORAX ASSET MANAGEMENT,312855,,WY,
CABOT LODGE SECURITIES LLC,159712,,WY,
"ONE WEALTH MAP, LLC",171750,,WY,
"RMR WEALTH BUILDERS, INC.",169005,,WY,
"REDWOOD INVESTMENT GROUP, INC",168017,,WY,
"ROBERTSON STEPHENS CAPITAL MARKETS, LLC",290635,,WY,
"CAMBRIDGE INVESTMENT RESEARCH ADVISORS, INC.",134139,,WY,
CETERA INVESTMENT ADVISERS LLC,105644,,WY,
NEXUS STRATEGIC ALPHA LLC,343308,,WY,
"STEWARD PARTNERS INVESTMENT ADVISORY, LLC",283004,,WY,
MARKLE FINANCIAL LLC,302088,,WY,
"GERVAIS CAPITAL MANAGEMENT, LLC",299347,,WY,
FIRST COMMAND ADVISORY SERVICES,281958,,WY,
VANTAGE POINT WEALTH MANAGEMENT,167886,,WY,
CHILDRESS & CO LLC,341213,,WY,
"FORESIDE FUND SERVICES, LLC",46106,,WY,
INDEPENDENT FINANCIAL PARTNERS,125112,,WY,
CERITY PARTNERS LLC,151559,,WY,
GLOBAL RETIREMENT PARTNERS LLC,172011,,WY,
CS PLANNING CORP,149937,,WY,
"LASALLE ST SECURITIES, L.L.C.",7191,,WY,
"KINGSVIEW WEALTH MANAGEMENT, LLC",148107,,WY,
"EMPOWER ADVISORY GROUP, LLC",112058,,WY,
PLANMEMBER SECURITIES CORPORATION,11869,,WY,
"AMERITAS INVESTMENT COMPANY, LLC",14869,,WY,
CITIGROUP GLOBAL MARKETS INC.,7059,,WY,
"MUTUAL OF OMAHA INVESTOR SERVICES, INC.",611,,WY,
OPPENHEIMER & CO. INC.,249,,WY,
GWN SECURITIES INC.,128929,,WY,
D.A. DAVIDSON & CO.,199,,WY,
"WOOD WEALTH GROUP, LLC",327286,,WY,
UBS SECURITIES LLC,7654,,WY,
"FORTUNE FINANCIAL SERVICES, INC.",42150,,WY,
MERCER GLOBAL ADVISORS INC.,147363,,WY,
"ELE WEALTH SOLUTIONS, INC.",38931,,WY,
"RAYMOND JAMES & ASSOCIATES, INC.",705,,WY,
MOMENTUM INDEPENDENT NETWORK INC.,17587,,WY,
"KESTRA ADVISORY SERVICES, LLC",283330,,WY,
FIDUCIARY CAPITAL MANAGEMENT LLC,340618,,WY,
THRIVENT INVESTMENT MANAGEMENT INC.,18387,,WY,
COMMONWEALTH FINANCIAL NETWORK,8032,,WY,
ROBERT W. BAIRD & CO. INCORPORATED,8158,,WY,
"GENEOS WEALTH MANAGEMENT, INC.",120894,,WY,
MONEY CONCEPTS CAPITAL CORP,12963,,WY,
"U.S. BANCORP INVESTMENTS, INC.",17868,,WY,
"MML INVESTORS SERVICES, LLC",10409,,WY,
MORGAN STANLEY,149777,,WY,
"VALIC FINANCIAL ADVISORS, INC.",42803,,WY,
PARK AVENUE SECURITIES LLC,46173,,WY,
"FIRST COMMAND BROKERAGE SERVICES, INC.",3641,,WY,
"PRINCIPAL SECURITIES, INC.",1137,,WY,
"AMERIPRISE FINANCIAL SERVICES, LLC",6363,,WY,
PFS INVESTMENTS INC.,10111,,WY,
"CHARLES SCHWAB & CO., INC.",5393,,WY,
NYLIFE SECURITIES LLC,5167,,WY,
UBS FINANCIAL SERVICES INC.,8174,,WY,
"OSAIC WEALTH, INC.",23131,,WY,
"WELLS FARGO CLEARING SERVICES, LLC",19616,,WY,
"U.S. BANCORP ADVISORS, LLC",14455,,WY,
STONEX ADVISORS INC.,174182,,WY,
STONEX SECURITIES INC.,18456,,WY,
EDWARD JONES,250,,WY,
STATE FARM VP MANAGEMENT CORP.,43036,,WY,
"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",7691,,WY,
"CETERA WEALTH SERVICES, LLC",13572,,WY,
"ALLSTATE FINANCIAL SERVICES, LLC",18272,,WY,
"CAMBRIDGE INVESTMENT RESEARCH, INC.",39543,,WY,
"STIFEL, NICOLAUS & COMPANY, INCORPORATED",793,,WY,
"EQUITABLE ADVISORS, LLC",6627,,WY,
"J.W. COLE FINANCIAL, INC.",124583,,WY,
"FARMERS FINANCIAL SOLUTIONS, LLC",103863,,WY,
ROCKEFELLER FINANCIAL LLC,291361,,WY,
"LPL ENTERPRISE, LLC",8733,,WY,
"WELLS FARGO ADVISORS FINANCIAL NETWORK, LLC",11025,,WY,
"ONEAMERICA SECURITIES, INC.",4173,,WY,
"FBL MARKETING SERVICES, LLC",5309,,WY,
PURSHE KAPLAN STERLING INVESTMENTS,35747,,WY,
"M HOLDINGS SECURITIES, INC.",43285,,WY,
J.P. MORGAN SECURITIES LLC,79,,WY,
"RAYMOND JAMES FINANCIAL SERVICES, INC.",6694,,WY,
"HORNOR, TOWNSEND & KENT, LLC",4031,,WY,
"NORTHWESTERN MUTUAL INVESTMENT SERVICES, LLC",2881,,WY,
LPL FINANCIAL LLC,6413,,WY,
LINCOLN INVESTMENT,519,,WY,
"RBC CAPITAL MARKETS, LLC",31194,,WY,
CETERA ADVISORS LLC,10299,,WY,
